experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,42,CATEGORICAL,2.6651,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,43,CATEGORICAL,3.2367,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,44,CATEGORICAL,2.9158,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,45,CATEGORICAL,3.3379,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,46,CATEGORICAL,2.6552,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,47,CATEGORICAL,2.5842,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,48,CATEGORICAL,2.5503,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,49,CATEGORICAL,2.8444,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,50,CATEGORICAL,2.7664,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,51,CATEGORICAL,2.8734,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,52,CATEGORICAL,2.4858,1.0,1175,1263,0,0
ID3_tournament_size_73,ID3,ID3_INFORMATION_GAIN,100,1.0,1.0,-1,1,2,73,0.7,53,CATEGORICAL,2.4256,1.0,1175,1263,0,0
