experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,42,CATEGORICAL,3.6976,0.7126,3,59,2,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,43,CATEGORICAL,4.4242,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,44,CATEGORICAL,4.4507,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,45,CATEGORICAL,4.4926,0.7011,2,59,2,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,46,CATEGORICAL,4.3294,0.6897,2,58,3,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,47,CATEGORICAL,4.207,0.7241,2,61,0,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,48,CATEGORICAL,4.3767,0.7471,6,59,2,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,49,CATEGORICAL,4.4684,0.7126,3,59,2,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,50,CATEGORICAL,4.3095,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,51,CATEGORICAL,4.2597,0.7126,2,60,1,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,52,CATEGORICAL,4.4402,0.7241,2,61,0,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,53,CATEGORICAL,4.2862,0.6782,1,58,3,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,54,CATEGORICAL,4.1616,0.7011,1,60,1,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,55,CATEGORICAL,4.4794,0.7241,3,60,1,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,56,CATEGORICAL,4.6819,0.7356,6,58,3,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,57,CATEGORICAL,4.8504,0.7471,4,61,0,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,58,CATEGORICAL,4.334,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,59,CATEGORICAL,4.3243,0.7356,4,60,1,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,60,CATEGORICAL,4.305,0.7471,4,61,0,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,61,CATEGORICAL,4.4655,0.6897,2,58,3,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,62,CATEGORICAL,4.8156,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,63,CATEGORICAL,4.7923,0.7241,2,61,0,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,64,CATEGORICAL,4.3696,0.7356,3,61,0,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,65,CATEGORICAL,4.4703,0.7126,1,61,0,25
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.2,1.0,-1,2,2,14,0.7,66,CATEGORICAL,4.8772,0.7241,2,61,0,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,42,CATEGORICAL,4.7924,0.7471,7,58,3,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,43,CATEGORICAL,4.684,0.7356,4,60,1,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,44,CATEGORICAL,4.4421,0.7126,2,60,1,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,45,CATEGORICAL,4.8574,0.7241,5,58,3,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,46,CATEGORICAL,5.0632,0.7126,2,60,1,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,47,CATEGORICAL,4.6149,0.7241,3,60,1,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,48,CATEGORICAL,4.3196,0.7356,8,56,5,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,49,CATEGORICAL,4.3861,0.7356,7,57,4,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,50,CATEGORICAL,4.2509,0.7011,5,56,5,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,51,CATEGORICAL,4.3201,0.7011,3,58,3,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,52,CATEGORICAL,4.2042,0.7356,4,60,1,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,53,CATEGORICAL,3.9559,0.6782,3,56,5,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,54,CATEGORICAL,4.291,0.7241,4,59,2,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,55,CATEGORICAL,4.5601,0.7126,4,58,3,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,56,CATEGORICAL,4.0922,0.7356,9,55,6,17
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,57,CATEGORICAL,4.4317,0.7241,6,57,4,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,58,CATEGORICAL,4.4025,0.6897,3,57,4,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,59,CATEGORICAL,4.19,0.7586,6,60,1,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,60,CATEGORICAL,4.3277,0.6667,2,56,5,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,61,CATEGORICAL,4.5097,0.7241,6,57,4,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,62,CATEGORICAL,4.143,0.7471,9,56,5,17
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,63,CATEGORICAL,4.2518,0.7816,9,59,2,17
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,64,CATEGORICAL,4.2176,0.6897,2,58,3,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,65,CATEGORICAL,4.3937,0.7241,2,61,0,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.4,1.0,-1,2,2,14,0.7,66,CATEGORICAL,4.1944,0.7701,7,60,1,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,42,CATEGORICAL,4.2472,0.7356,8,56,5,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,43,CATEGORICAL,4.1692,0.7241,5,58,3,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,44,CATEGORICAL,4.0915,0.7241,3,60,1,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,45,CATEGORICAL,4.2368,0.7356,7,57,4,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,46,CATEGORICAL,4.1368,0.7011,5,56,5,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,47,CATEGORICAL,4.2139,0.7356,6,58,3,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,48,CATEGORICAL,4.2015,0.7241,10,53,8,16
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,49,CATEGORICAL,4.0047,0.7356,6,58,3,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,50,CATEGORICAL,4.2469,0.7126,6,56,5,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,51,CATEGORICAL,3.9642,0.7011,4,57,4,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,52,CATEGORICAL,3.9609,0.7126,4,58,3,22
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,53,CATEGORICAL,4.195,0.7356,6,58,3,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,54,CATEGORICAL,4.0758,0.7816,8,60,1,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,55,CATEGORICAL,4.1084,0.7356,7,57,4,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,56,CATEGORICAL,4.2446,0.7586,10,56,5,16
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,57,CATEGORICAL,4.3144,0.7241,7,56,5,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,58,CATEGORICAL,4.3398,0.6897,5,55,6,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,59,CATEGORICAL,4.2326,0.7356,7,57,4,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,60,CATEGORICAL,4.114,0.7241,7,56,5,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,61,CATEGORICAL,4.1046,0.7241,7,56,5,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,62,CATEGORICAL,4.1967,0.7471,8,57,4,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,63,CATEGORICAL,4.5811,0.7931,10,59,2,16
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,64,CATEGORICAL,4.6133,0.7241,5,58,3,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,65,CATEGORICAL,4.4556,0.6782,3,56,5,23
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.6,1.0,-1,2,2,14,0.7,66,CATEGORICAL,4.4523,0.7471,5,60,1,21
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,42,CATEGORICAL,4.1389,0.7356,9,55,6,17
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,43,CATEGORICAL,4.2564,0.7126,7,55,6,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,44,CATEGORICAL,4.1327,0.7126,2,60,1,24
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,45,CATEGORICAL,4.4645,0.7356,8,56,5,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,46,CATEGORICAL,4.1809,0.7241,6,57,4,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,47,CATEGORICAL,4.1753,0.7241,8,55,6,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,48,CATEGORICAL,4.1883,0.7586,10,56,5,16
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,49,CATEGORICAL,4.205,0.7126,8,54,7,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,50,CATEGORICAL,4.0933,0.7586,8,58,3,18
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,51,CATEGORICAL,4.0471,0.7471,6,59,2,20
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,52,CATEGORICAL,4.5274,0.7356,7,57,4,19
ID3_sample_ratio_14,ID3,ID3_INFORMATION_GAIN,100,0.8,1.0,-1,2,2,14,0.7,53,CATEGORICAL,4.0535,0.7011,4,57,4,22
