experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,42,ONE_HOT,9.696,0.8096,504,6783,227,1487
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,43,ONE_HOT,10.1733,0.8082,486,6789,221,1505
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,44,ONE_HOT,9.6578,0.8091,485,6798,212,1506
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,45,ONE_HOT,11.5318,0.8098,503,6786,224,1488
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,46,ONE_HOT,10.8365,0.8108,495,6803,207,1496
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,47,ONE_HOT,11.4219,0.8076,466,6803,207,1525
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,48,ONE_HOT,11.652,0.811,528,6772,238,1463
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,49,ONE_HOT,11.4423,0.8076,513,6756,254,1478
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,50,ONE_HOT,10.1334,0.8141,549,6779,231,1442
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,51,ONE_HOT,10.5748,0.812,506,6803,207,1485
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,52,ONE_HOT,10.5216,0.8106,523,6773,237,1468
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,53,ONE_HOT,11.3961,0.8079,512,6760,250,1479
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,54,ONE_HOT,10.9369,0.8122,527,6784,226,1464
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,55,ONE_HOT,10.5574,0.8098,520,6769,241,1471
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,56,ONE_HOT,10.8813,0.8097,537,6751,259,1454
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,57,ONE_HOT,10.6256,0.8104,526,6768,242,1465
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,58,ONE_HOT,11.0941,0.81,538,6753,257,1453
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,59,ONE_HOT,10.0028,0.8098,536,6753,257,1455
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,60,ONE_HOT,10.23,0.8088,493,6787,223,1498
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,61,ONE_HOT,9.8537,0.8107,524,6773,237,1467
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,62,ONE_HOT,9.852,0.8109,552,6747,263,1439
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,63,ONE_HOT,10.7324,0.81,531,6760,250,1460
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,64,ONE_HOT,10.8275,0.8115,517,6787,223,1474
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,65,ONE_HOT,9.8641,0.8092,535,6749,261,1456
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,1,2,350,0.7,66,ONE_HOT,9.9379,0.8132,470,6850,160,1521
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,42,ONE_HOT,14.7401,0.8194,703,6672,338,1288
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,43,ONE_HOT,16.064,0.8165,663,6686,324,1328
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,44,ONE_HOT,16.9505,0.818,652,6711,299,1339
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,45,ONE_HOT,16.2881,0.8168,664,6688,322,1327
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,46,ONE_HOT,15.4658,0.8195,692,6684,326,1299
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,47,ONE_HOT,15.3948,0.8152,639,6699,311,1352
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,48,ONE_HOT,16.8986,0.815,697,6639,371,1294
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,49,ONE_HOT,15.0394,0.8137,678,6646,364,1313
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,50,ONE_HOT,17.1359,0.822,720,6679,331,1271
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,51,ONE_HOT,15.8004,0.8188,691,6679,331,1300
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,52,ONE_HOT,14.6608,0.8214,697,6696,314,1294
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,53,ONE_HOT,16.9478,0.8151,676,6661,349,1315
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,54,ONE_HOT,16.9527,0.8201,689,6693,317,1302
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,55,ONE_HOT,15.1258,0.8179,703,6659,351,1288
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,56,ONE_HOT,16.9196,0.812,684,6625,385,1307
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,57,ONE_HOT,15.6887,0.8155,675,6665,345,1316
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,58,ONE_HOT,15.9453,0.8196,713,6664,346,1278
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,59,ONE_HOT,15.4573,0.8156,669,6672,338,1322
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,60,ONE_HOT,14.4481,0.817,667,6687,323,1324
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,61,ONE_HOT,15.0469,0.8145,660,6671,339,1331
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,62,ONE_HOT,14.0961,0.8175,710,6648,362,1281
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,63,ONE_HOT,15.1485,0.8146,682,6650,360,1309
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,64,ONE_HOT,15.0062,0.816,663,6682,328,1328
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,65,ONE_HOT,16.8055,0.8171,693,6662,348,1298
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,2,2,350,0.7,66,ONE_HOT,15.7988,0.8211,686,6705,305,1305
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,42,ONE_HOT,18.4168,0.8187,725,6644,366,1266
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,43,ONE_HOT,20.2345,0.8194,719,6656,354,1272
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,44,ONE_HOT,15.9784,0.8192,705,6669,341,1286
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,45,ONE_HOT,17.0824,0.8182,693,6672,338,1298
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,46,ONE_HOT,18.5742,0.8179,717,6645,365,1274
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,47,ONE_HOT,18.8601,0.8172,689,6667,343,1302
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,48,ONE_HOT,18.5831,0.8171,746,6609,401,1245
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,49,ONE_HOT,16.2511,0.816,715,6630,380,1276
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,50,ONE_HOT,17.0852,0.8217,751,6645,365,1240
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,51,ONE_HOT,16.0265,0.8202,720,6663,347,1271
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,52,ONE_HOT,16.3816,0.8205,725,6660,350,1266
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,53,ONE_HOT,16.9958,0.8179,718,6644,366,1273
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,54,ONE_HOT,18.5273,0.8212,724,6668,342,1267
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,55,ONE_HOT,16.6099,0.818,732,6631,379,1259
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,56,ONE_HOT,18.0354,0.8167,715,6636,374,1276
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,57,ONE_HOT,16.8654,0.8198,722,6657,353,1269
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,58,ONE_HOT,18.607,0.8171,730,6625,385,1261
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,59,ONE_HOT,20.0136,0.8181,711,6653,357,1280
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,60,ONE_HOT,16.4396,0.8175,699,6659,351,1292
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,61,ONE_HOT,18.4118,0.8172,699,6657,353,1292
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,62,ONE_HOT,16.4143,0.8197,751,6627,383,1240
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,63,ONE_HOT,18.717,0.817,713,6641,369,1278
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,64,ONE_HOT,15.5845,0.818,697,6666,344,1294
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,65,ONE_HOT,18.9409,0.8167,721,6630,380,1270
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,3,2,350,0.7,66,ONE_HOT,15.7785,0.8211,720,6671,339,1271
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,42,ONE_HOT,19.6574,0.8188,754,6616,394,1237
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,43,ONE_HOT,18.2875,0.8187,744,6625,385,1247
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,44,ONE_HOT,18.0535,0.8209,719,6670,340,1272
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,45,ONE_HOT,17.8815,0.8169,699,6654,356,1292
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,46,ONE_HOT,17.9198,0.8169,734,6619,391,1257
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,47,ONE_HOT,17.85,0.8174,705,6652,358,1286
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,48,ONE_HOT,17.6147,0.8172,775,6581,429,1216
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,49,ONE_HOT,18.3532,0.8168,723,6629,381,1268
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,50,ONE_HOT,17.9624,0.8202,761,6622,388,1230
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,51,ONE_HOT,17.762,0.8197,732,6646,364,1259
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,52,ONE_HOT,18.863,0.8199,736,6644,366,1255
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,53,ONE_HOT,18.2094,0.8156,722,6619,391,1269
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,54,ONE_HOT,17.9859,0.8214,744,6649,361,1247
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,55,ONE_HOT,17.11,0.8147,751,6582,428,1240
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,56,ONE_HOT,17.8532,0.8152,721,6617,393,1270
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,57,ONE_HOT,20.3994,0.8198,743,6636,374,1248
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,58,ONE_HOT,20.4047,0.8178,739,6622,388,1252
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,59,ONE_HOT,18.8649,0.8177,735,6625,385,1256
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,60,ONE_HOT,17.9895,0.8157,714,6628,382,1277
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,61,ONE_HOT,20.4339,0.8172,720,6636,374,1271
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,62,ONE_HOT,18.3151,0.8148,757,6577,433,1234
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,63,ONE_HOT,20.3608,0.8156,743,6598,412,1248
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,64,ONE_HOT,21.2825,0.8176,718,6641,369,1273
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,65,ONE_HOT,19.6884,0.8168,733,6619,391,1258
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,5,2,350,0.7,66,ONE_HOT,19.9102,0.8231,746,6663,347,1245
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,42,ONE_HOT,25.4173,0.8181,767,6597,413,1224
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,43,ONE_HOT,24.1399,0.8188,757,6613,397,1234
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,44,ONE_HOT,28.0298,0.8162,721,6626,384,1270
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,45,ONE_HOT,24.4375,0.8144,703,6627,383,1288
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,46,ONE_HOT,25.4812,0.8175,735,6623,387,1256
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,47,ONE_HOT,22.8396,0.8171,723,6632,378,1268
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,48,ONE_HOT,23.1204,0.8169,765,6588,422,1226
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,49,ONE_HOT,22.2994,0.8145,745,6586,424,1246
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,50,ONE_HOT,23.2593,0.8226,783,6621,389,1208
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,51,ONE_HOT,25.1126,0.8186,753,6615,395,1238
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,52,ONE_HOT,27.0822,0.8216,761,6634,376,1230
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,53,ONE_HOT,24.5346,0.8179,746,6616,394,1245
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,54,ONE_HOT,23.9234,0.823,755,6653,357,1236
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,55,ONE_HOT,23.0858,0.816,763,6582,428,1228
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,56,ONE_HOT,25.6381,0.8114,722,6581,429,1269
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,57,ONE_HOT,23.9085,0.8185,758,6609,401,1233
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,58,ONE_HOT,24.5609,0.8159,743,6601,409,1248
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,59,ONE_HOT,23.2118,0.8168,738,6614,396,1253
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,60,ONE_HOT,23.8104,0.8151,723,6614,396,1268
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,61,ONE_HOT,25.3123,0.8154,722,6617,393,1269
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,62,ONE_HOT,22.3307,0.8165,764,6585,425,1227
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,63,ONE_HOT,22.3797,0.8162,745,6602,408,1246
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,64,ONE_HOT,22.7244,0.816,733,6612,398,1258
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,65,ONE_HOT,22.5584,0.8185,740,6627,383,1251
CART_tournament_size_350,CART,CART_GINI_GAIN,100,1.0,1.0,-1,10,2,350,0.7,66,ONE_HOT,22.7087,0.8204,743,6641,369,1248
