experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,42,ONE_HOT,1.2256,0.7572,718,1128,135,457
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,43,ONE_HOT,1.0323,0.7334,821,967,296,354
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,44,ONE_HOT,1.0916,0.6899,1039,643,620,136
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,45,ONE_HOT,1.0329,0.8351,1077,959,304,98
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,46,ONE_HOT,1.0624,0.9356,1066,1215,48,109
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,47,ONE_HOT,1.0455,0.8815,993,1156,107,182
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,48,ONE_HOT,1.0819,0.7264,981,790,473,194
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,49,ONE_HOT,1.1608,0.8552,1094,991,272,81
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,50,ONE_HOT,1.0096,0.7199,1139,616,647,36
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,51,ONE_HOT,1.0565,0.8511,917,1158,105,258
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,52,ONE_HOT,1.0692,0.8413,954,1097,166,221
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,53,ONE_HOT,1.046,0.9295,1046,1220,43,129
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,54,ONE_HOT,1.0372,0.8097,1016,958,305,159
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,55,ONE_HOT,1.0497,0.9245,1093,1161,102,82
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,56,ONE_HOT,1.0551,0.8261,776,1238,25,399
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,57,ONE_HOT,1.02,0.6866,490,1184,79,685
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,58,ONE_HOT,1.016,0.936,1111,1171,92,64
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,59,ONE_HOT,1.0733,0.8134,757,1226,37,418
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,60,ONE_HOT,1.0629,0.8437,985,1072,191,190
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,61,ONE_HOT,1.0417,0.8687,963,1155,108,212
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,62,ONE_HOT,1.0123,0.7888,673,1250,13,502
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,63,ONE_HOT,1.0547,0.8351,961,1075,188,214
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,64,ONE_HOT,1.0481,0.7777,1102,794,469,73
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,65,ONE_HOT,1.0391,0.7539,969,869,394,206
CART_tree_count_73,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,73,0.7,66,ONE_HOT,1.0301,0.9459,1122,1184,79,53
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,42,ONE_HOT,1.1062,0.7949,675,1263,0,500
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,43,ONE_HOT,1.1381,0.7313,564,1219,44,611
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,44,ONE_HOT,1.2111,0.9217,991,1256,7,184
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,45,ONE_HOT,1.182,0.8601,948,1149,114,227
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,46,ONE_HOT,1.1357,0.9032,962,1240,23,213
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,47,ONE_HOT,1.179,0.5226,11,1263,0,1164
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,48,ONE_HOT,1.1237,0.9102,957,1262,1,218
CART_tree_count_73,CART,CART_GINI_GAIN,2,1.0,1.0,-1,2,2,73,0.7,49,ONE_HOT,1.2185,0.8322,789,1240,23,386
