experiment,forest_type,eval_function,num_trees,sample_ratio,feature_ratio,tree_max_depth,tree_tournament_size,min_samples_split,set_id,train_size,random_seed,categorial_encoding,time_of_building,accuracy,TP,TN,FP,FN
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,42,ONE_HOT,1.5905,0.7268,742,5800,1210,1249
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,43,ONE_HOT,1.2783,0.7581,298,6526,484,1693
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,44,ONE_HOT,1.6342,0.7321,682,5908,1102,1309
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,45,ONE_HOT,1.6302,0.7301,749,5823,1187,1242
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,46,ONE_HOT,1.5291,0.7293,764,5800,1210,1227
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,47,ONE_HOT,1.572,0.731,735,5845,1165,1256
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,48,ONE_HOT,1.5628,0.7344,794,5816,1194,1197
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,49,ONE_HOT,1.5772,0.7248,756,5768,1242,1235
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,50,ONE_HOT,1.7426,0.728,784,5769,1241,1207
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,51,ONE_HOT,1.6094,0.7357,742,5880,1130,1249
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,52,ONE_HOT,1.5685,0.7408,704,5964,1046,1287
CART_tree_count_350,CART,CART_GINI_GAIN,1,1.0,1.0,-1,2,2,350,0.7,53,ONE_HOT,1.5684,0.7353,774,5844,1166,1217
